Timestamp, People Count, Occupancy
2025-07-30 21:57:44, Count: 6, Occupancy: 60.00%
2025-07-30 21:57:44, Count: 6, Occupancy: 60.00%
2025-07-30 21:57:45, Count: 6, Occupancy: 60.00%
2025-07-30 21:57:45, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:45, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:46, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:46, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:46, Count: 8, Occupancy: 80.00%
2025-07-30 21:57:47, Count: 8, Occupancy: 80.00%
2025-07-30 21:57:47, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:47, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:47, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:48, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:48, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:48, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:48, Count: 7, Occupancy: 70.00%
